PID	COMMAND
1	/init
5	plan9
8	/init
9	/init
10	-bash
317	/home/samuel/.vscode-server/extensions/ms-vscode.cpptools-1.22.11-linux-x64/bin/cpptools
493	/init
494	/init
495	-bash
1517	/home/samuel/.vscode-server/extensions/ms-python.python-2024.20.0/python-env-tools/bin/pet
1719	/bin/bash
1795	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
3354	/home/samuel/.vscode-server/extensions/ms-vscode.cpptools-1.22.11-linux-x64/bin/cpptools-srv
3381	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
3388	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
3892	/home/samuel/.vscode-server/extensions/ms-vscode.cpptools-1.22.11-linux-x64/bin/cpptools-srv
5928	/bin/bash
5935	./system_monitor
6094	sleep
14170	/init
14205	/init
14206	/init
14207	sh
14208	sh
14213	sh
14217	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
14422	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
24971	node
28232	/init
32144	/init
32145	/init
32146	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
32153	/init
32154	/init
32155	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
32161	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
32176	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
32246	/init
32247	/init
32248	/bin/sh
32249	/bin/sh
32259	/home/samuel/.vscode-server/bin/f1a4fb101478ce6ec82fe9627c43efbf9e98c813/node
32294	/bin/sh
32538	/bin/bash
