Timestamp	CPU(%)	Memory(%)	Network_Received(KB)	Network_Transmitted(KB)
08:46:08	-nan	33.14	42386	32165
08:46:10	3.70	33.13	42386	32165
08:46:12	2.25	33.14	42386	32165
08:46:14	2.25	33.13	42386	32165
08:46:16	2.24	33.12	42386	32165
08:46:18	3.10	33.11	42386	32165
08:46:20	2.11	33.11	42386	32165
08:46:22	2.62	33.11	42386	32165
08:46:24	1.62	33.09	42386	32165
08:46:26	2.00	33.09	42386	32165
08:46:28	2.24	33.08	42387	32165
08:46:30	1.99	33.09	42387	32165
08:46:32	2.00	33.16	42387	32165
08:46:34	3.58	33.15	42387	32165
08:46:36	0.75	33.16	42387	32165
08:46:38	2.12	33.14	42387	32165
